iteration,qg
1,0.5391508754079622
2,0.5719443333675479
3,0.5955441273193509
4,0.6096433351723203
5,0.6311010361794973
6,0.6379680225273701
7,0.6449088019939874
8,0.6501559911342543
9,0.6523938365105437
10,0.6547300953443768
11,0.6560243494504693
12,0.6567464598711855
13,0.6569825823563623
14,0.6569860232710396
15,0.6578106109423594
16,0.6581076381818213
17,0.658092899424548
18,0.6580826299143027
19,0.6580753158802944
20,0.6580701082941243
21,0.658066386538627
22,0.6580637323135091
23,0.658061848571495
24,0.6580605247983946
25,0.6580596095095701
26,0.6580589930495407
27,0.6580585954783857
28,0.6580583582406364
29,0.6578910322119776
30,0.6578127758948284
31,0.657707495755709
32,0.6576215475612338
33,0.6572751726740548
34,0.6570405673266525
35,0.6565429518424917
36,0.6561611577737901
37,0.6563043175632755
38,0.6567624241365757
39,0.6571110259345189
40,0.6574223826635207
41,0.6573651289712362
42,0.6573141421398794
43,0.6572680221485901
44,0.6573457899254755
45,0.6573218193141078
46,0.6572871894986463
47,0.6572542374203204
48,0.657222077063701
49,0.6571912419782867
50,0.6571617644910163
51,0.6571336601554959
52,0.6571068917567999
53,0.6570814091661831
54,0.6570571562978956
55,0.6570340764009032
56,0.6570121137809503
57,0.6569912145647955
58,0.6569713269510633
59,0.6569524012813373
60,0.6569343900375099
61,0.6569172478122326
62,0.6569009312678961
63,0.6568853990891926
64,0.6568706119305576
65,0.6568565323588842
66,0.6568431247919254
67,0.6568303554329902
68,0.6568181922027309
69,0.6568066046688963
70,0.6567955639749283
71,0.6567850427682294
72,0.6567750151288263
73,0.656765456499057
74,0.6567563436147876
75,0.6567476544385598
76,0.656739368094979
77,0.6567314648085595
78,0.6567239258441675
79,0.6567167334501555
80,0.6567098708042125
81,0.6567033219619325
82,0.6566970718080554
83,0.6566911060103269
84,0.6566854109758886
85,0.6566799738101159
86,0.6566747822777929
87,0.6566698247665235
88,0.6566650902522684
89,0.6566605682668972
90,0.6566562488676472
91,0.6566521226083818
92,0.6566481805125474
93,0.6566444140477249
94,0.6566408151016854
95,0.6566373759598546
96,0.6566340892841008
97,0.6566309480927678
98,0.6566279457418703
99,0.6566250759073823
100,0.65662233256855
